company,n_obs,mean_abs_pct,median_abs_pct,std_abs_pct,min_abs_pct,q1_abs_pct,q3_abs_pct,max_abs_pct,iqr_abs_pct,normal_fit_mu,normal_fit_sigma
GE,1,99.67836665560628,99.67836665560628,0.0,99.67836665560628,99.67836665560628,99.67836665560628,99.67836665560628,0.0,99.67836665560628,0.0
plug,12,78.92607884440604,82.28333619543724,34.13281009672003,17.725947020772338,60.730600116863386,104.05673385872599,128.96500430113971,43.326133741862606,78.92607884440604,34.13281009672003
enph,11,67.00730953039843,61.792580743013225,37.6039826389481,11.174503820258035,47.53001872449603,82.53366109722424,135.32626129241433,35.00364237272821,67.00730953039843,37.6039826389481
fslr,18,47.157574434760335,47.41739158378195,30.38327778209414,4.476697977127466,22.666597050256556,60.45823513048068,116.89126233831612,37.791638080224125,47.157574434760335,30.38327778209414
apple,39,35.14856547950823,30.458138467074377,27.02404239613501,3.004393873015776,10.540485185797618,53.354242149421,101.4633671291238,42.813756963623376,35.14856547950823,27.02404239613501
amazon,26,31.7944930263804,28.15692280364046,18.58301452194742,4.14773415590105,20.168374370244457,43.497219722058816,70.5660416766138,23.32884535181436,31.7944930263804,18.58301452194742
tesla,12,27.82507024022271,21.794491322042134,20.417969624301787,2.550853102065166,9.941535397002168,50.88312027206363,56.359981553959685,40.94158487506146,27.82507024022271,20.417969624301787
walmart,52,27.594026220315627,22.488457688063825,24.516750031908394,0.0141669039925032,7.458444501302965,42.143047790083415,92.63012700049352,34.68460328878045,27.594026220315627,24.516750031908394
eog,32,23.638897907816972,25.69073493976434,14.734058364693517,1.4421008446709147,12.187461559821235,32.63612907995068,62.148299398780935,20.44866752012944,23.638897907816972,14.734058364693517
kmi,14,23.446548772919623,17.12730572220927,20.962610055297624,0.0204027333287757,9.43391458779896,38.35813640537131,75.50112550481488,28.924221817572352,23.446548772919623,20.962610055297624
gm,15,22.879656916704167,19.66114547782126,15.510338431175951,4.938978579422418,9.090903594395538,33.529133581732374,54.8416585563552,24.438229987336836,22.879656916704167,15.510338431175951
microsoft,36,21.459213648611705,18.93314855776407,16.123732897132733,0.3918943023771113,9.841678696868641,25.43469874973279,62.84271884679491,15.593020052864148,21.459213648611705,16.123732897132733
target,41,21.02299681949092,18.188764385477217,16.766304669007997,0.2108041396352193,7.636097468932679,30.46353134156192,58.71883165164207,22.827433872629243,21.02299681949092,16.766304669007997
wmb,40,20.606909479002002,12.558835444448114,19.80314537911876,0.1230383704829637,5.855737069227955,27.97696421426708,75.4693696105582,22.121227145039125,20.606909479002002,19.80314537911876
bp,20,19.39997672526163,17.233954634140822,13.975430014157727,0.3975524657615366,9.997203764070482,27.132390138412827,48.200561737887696,17.135186374342346,19.39997672526163,13.975430014157727
vde,20,18.728268828867044,18.16317627521439,13.293048986525505,3.3920842511794196,5.830836620457593,22.94086386053184,46.177127453710305,17.11002724007425,18.728268828867044,13.293048986525505
cop,42,18.2910523608765,15.30815086752504,13.175282715362762,2.375493553693186,7.174626789624435,26.694890638125617,52.54873505619805,19.52026384850118,18.2910523608765,13.175282715362762
coke,56,17.96564068023077,14.951288034374553,13.163108515472661,0.2288670996345023,6.7353188465897915,27.269881255201888,48.82114096085225,20.534562408612096,17.96564068023077,13.163108515472661
enb,19,15.95781264700791,13.2688061254045,8.030386845869094,2.296378979561176,11.149092754976811,22.68463139231409,28.05791860148184,11.535538637337277,15.95781264700791,8.030386845869094
chevron,55,15.637759746213364,13.5613962305798,11.150638258258216,0.2013270374672765,7.3647585905790205,23.01239360874522,46.556954095363224,15.6476350181662,15.637759746213364,11.150638258258216
next,20,15.553384318282307,13.141941625660923,12.322890350885949,0.5955213385446251,6.860371708353445,21.830810732743142,41.13317255685424,14.970439024389698,15.553384318282307,12.322890350885949
nasdaq,19,15.46834627301177,8.691541998708693,13.563935147628822,1.0095653306437566,5.127705226765704,22.994023783158546,48.19353477908851,17.86631855639284,15.46834627301177,13.563935147628822
xle,18,15.274157965098453,14.438108333253656,9.689281213541154,2.727143659618511,7.722252771620312,21.55427208280122,41.100987575890066,13.832019311180908,15.274157965098453,9.689281213541154
total,19,13.938412393821574,14.380783433807084,8.82846909830866,0.2559799666945763,6.9784012472112975,17.938500207360278,32.226203219119846,10.96009896014898,13.938412393821574,8.82846909830866
pepsi,49,13.67970696876516,11.877778751290895,11.588938704399819,0.1712777313416212,3.9769091565698593,21.844516764034623,42.61654529938758,17.867607607464763,13.67970696876516,11.588938704399819
general,41,13.307798993141011,10.17370733906662,10.81448322995409,0.7460542808908187,3.671137143693183,19.610789340700304,36.70378870809577,15.93965219700712,13.307798993141011,10.81448322995409
dowjones,128,13.145275070960691,10.116253770512639,10.364602181868765,0.4896862004198055,4.909801751587787,20.402976995656264,45.101860794582514,15.493175244068476,13.145275070960691,10.364602181868765
sp500,152,13.036976668741712,11.10759163742172,10.010243576674071,0.0947901073839352,4.6770012717240474,20.36200729596885,43.89550331569053,15.685006024244803,13.036976668741712,10.010243576674071
corteva,6,12.873774363227175,5.820679541360566,13.557501912953274,0.5502521516569867,4.948892365636645,22.590859970843447,32.21181819058519,17.6419676052068,12.873774363227175,13.557501912953274
exxon,54,12.397030262379872,9.05034311794465,8.528249151213837,1.7096698616698534,5.053327392574828,17.994569066315297,37.73552899877643,12.941241673740468,12.397030262379872,8.528249151213837
shell,3,6.571818136863513,6.601254941695895,0.43635350498473213,6.121491553620325,6.36137324765811,6.796981428485108,6.99270791527432,0.43560818082699715,6.571818136863513,0.43635350498473213
